dut_id,profile,status,batch_anomaly,batch_anomaly_score,clean_point_count,compliance_tripped,dark_current_a,dark_iv_point_count,detectivity_jones,duplicate_point_count,estimated_shunt_resistance_ohm,invalid_point_count,light_current_a,light_iv_point_count,linearity_max_error_fraction,linearity_r_squared,linearity_slope_a_per_w,measurement_seed,nep_w_per_sqrt_hz,noise_density_a_per_sqrt_hz,noise_rms_a,photocurrent_a,raw_point_count,reference_bias_v,repeatability_cv,repeatability_noise_std_a,responsivity_a_per_w,simulated_dark_saturation_current_a,simulated_instrument_gain_error,simulated_instrument_zero_offset_a,simulated_nominal_responsivity_a_per_w,simulated_temperature_c,spectral_peak_responsivity_a_per_w,spectral_peak_wavelength_nm,stability_drift_fraction,stability_range_fraction,target_spectral_ratio,reasons,error
PD-011,normal,PASS,False,0.0,167,False,6.416897676806624e-10,50,7420529437959.282,0,157679121242.1449,0,3.927055293089939e-05,50,4.076087625988951e-10,1.0,0.5235988170100981,20260920,3.690589479392963e-14,1.9323882837762158e-14,1.9323882837762158e-14,3.926991124113171e-05,167,-2.0,4.741070845009349e-10,1.8618447359171878e-14,0.5235988165484229,7.299836072925527e-10,-0.0003219262334466091,2.17143417041887e-12,0.5321219408147885,22.979692532589524,0.5301793816284971,900.0,1.099978614842531e-05,1.099978614842531e-05,0.9875880399293645,,
PD-012,normal,PASS,False,0.0,167,False,1.0810054129380072e-09,50,4581227085808.045,0,119296634957.24355,0,3.960204196007697e-05,50,8.086557052723772e-10,1.0,0.5280128143298835,20260921,5.977902287379821e-14,3.1564090009776683e-14,3.1564090009776683e-14,3.9600960954664034e-05,167,-2.0,6.69845662342504e-10,2.6527256078693047e-14,0.5280128127288538,1.0485398465517739e-09,0.00011228126781358543,1.309425278059089e-12,0.5456303730178524,25.282432414124116,0.5454015361187665,900.0,1.0998237562180543e-05,1.0998237562180543e-05,0.9681175785519375,,
PD-013,high_dark_current,FAIL,True,6.781189062876199,167,False,2.595477474654468e-08,50,5577192663128.195,0,18434473862.042824,0,3.8875127498062905e-05,50,2.987453976881846e-10,1.0,0.5179889698002568,20260922,4.910378667086907e-14,2.5435219863272967e-14,2.5435219863272967e-14,3.884917272331636e-05,167,-2.0,6.015658064814419e-10,2.3385947413498848e-14,0.5179889696442183,2.2738421429243915e-08,0.002787687226375813,2.597227570742573e-12,0.5313737354333941,26.846910319082042,0.5336279840479877,900.0,1.0998770915906855e-05,1.0998770915906855e-05,0.9706930396627871,暗电流超过上限,
PD-014,low_responsivity,FAIL,True,18.013123909454695,167,False,1.035285903788546e-09,50,2708706732599.7905,0,144198497510.61734,0,1.5164434388198615e-05,50,1.8425194596485426e-09,1.0,0.20217865537496021,20260923,1.0110407134763298e-13,2.044108512948067e-14,2.044108512948067e-14,1.5163399102294826e-05,167,-2.0,1.3852762902159208e-09,2.100693141133133e-14,0.20217865469726437,1.0717776010433033e-09,-6.457689173538658e-05,-5.1299914702683735e-12,0.2054995721736395,24.295284317163066,0.20516733581470212,900.0,1.1002028534824567e-05,1.1002028534824567e-05,0.9854329606865008,响应度低于下限,
PD-015,noisy,FAIL,True,999.0,167,False,2.4371614236700064e-09,50,7655838866.88721,0,78996200407.35278,0,3.553381730666316e-05,50,0.10661589703521875,0.95215099330175,0.584542225422916,20260924,3.5771557306029404e-11,1.6946837347036663e-11,1.6946837347036663e-11,3.553138014523949e-05,167,-2.0,0.07875594194157905,3.25809498510745e-06,0.47375173526985986,1.901027571989219e-09,-6.06736329197238e-05,6.192626512182216e-12,0.5549892733163944,28.53474319987896,0.6116389309675849,900.0,0.10527800562582064,0.2832537526108328,0.8845519765378588,重复性CV超过上限; 暗噪声RMS超过上限; NEP超过上限; 比探测率D*低于下限; 线性拟合R²低于下限; 线性最大偏差超过上限; 稳定性漂移超过上限; 稳定性极差超过上限,
PD-016,nonlinear,FAIL,True,37.543766724956605,167,False,7.938812371735507e-10,50,6908670019029.468,0,171029474740.36987,0,2.213069587717121e-05,50,0.20763742784880854,0.8121253840947317,0.18190147155354883,20260925,3.9640231477006505e-14,1.1696459169097248e-14,1.1696459169097248e-14,2.2129901995934037e-05,167,-2.0,8.116211871428232e-10,1.7961741666957257e-14,0.2950653599457872,8.111436039135079e-10,-0.00210372913984989,3.0769949050647907e-12,0.5601927472843277,24.621236093158984,0.3066288438854996,900.0,1.0999442157598982e-05,1.0999442157598982e-05,0.9622883350079675,响应度低于下限; 线性拟合R²低于下限; 线性最大偏差超过上限,
PD-017,open_circuit,FAIL,True,999.0,167,False,5.6665110586630816e-12,50,226.263564630597,0,120836700907298.14,0,5.672734666286576e-12,50,0.519960846642142,0.13898445059692432,8.609569837800761e-10,20260926,0.0012103640248030882,1.0043774362623235e-13,1.0043774362623235e-13,6.223607623494037e-15,167,-2.0,0.01863194059847721,1.0274055905861896e-13,8.29814349799205e-11,0.0,0.0004925825801516356,5.588191836770798e-12,0.0,25.240214457906518,2.3080490466776438e-09,450.0,0.19047792536493427,3.2831799579766776,0.11297011810417948,响应度低于下限; NEP超过上限; 比探测率D*低于下限; 线性拟合R²低于下限; 线性最大偏差超过上限; 稳定性漂移超过上限; 稳定性极差超过上限; 目标波长相对响应低于下限,
PD-018,short_circuit,FAIL,True,999.0,129,True,0.001,50,0.0,38,331609.6476675074,0,0.001,50,0.0,1.0,0.0,20260927,inf,0.0,0.0,0.0,167,-2.0,0.0,0.0,0.0,7.184111705128598e-10,-0.0014958266513478743,-5.817731866777632e-12,0.5358692108270033,26.439139217497086,0.0,450.0,0.0,0.0,0.0,电流达到保护限值; 暗电流超过上限; 响应度低于下限; NEP超过上限; 比探测率D*低于下限; 目标波长相对响应低于下限,
PD-019,communication_error,ERROR,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,模拟VISA仪器连接超时,模拟VISA仪器连接超时
PD-020,normal,PASS,False,0.0,167,False,8.359150574571162e-10,50,6848201047708.665,0,129380214312.69571,0,4.2418828399073127e-05,50,4.407225607165366e-10,1.0,0.5655732341757113,20260929,3.999025099361154e-14,2.261741554774553e-14,2.261741554774553e-14,4.241799248401567e-05,167,-2.0,4.5551630843489875e-10,1.9322468130093712e-14,0.565573233120209,9.293649759950837e-10,0.001285844159205845,-3.778452751557431e-12,0.5741291117387859,23.188401026225392,0.5731876788440051,900.0,1.0999926959380818e-05,1.0999926959380818e-05,0.9867156151127078,,
